orders-dapr-1    | time="2025-08-22T14:20:29.440583551Z" level=info msg="Waiting for all outstanding components to be processed…" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.449785926Z" level=info msg="Component loaded: pubsub (pubsub.redis/v1)" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.449831968Z" level=info msg="All outstanding components processed" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.449841218Z" level=info msg="Loading endpoints…" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.450406426Z" level=info msg="Waiting for all outstanding http endpoints to be processed…" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.450462301Z" level=info msg="All outstanding http endpoints processed" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.450594551Z" level=info msg="gRPC server listening on TCP address: :50001" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.grpc.api type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.450776093Z" level=info msg="Enabled gRPC tracing middleware" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.grpc.api type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.450887676Z" level=info msg="Enabled gRPC metrics middleware" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.grpc.api type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.451716843Z" level=info msg="Registering workflow engine for gRPC endpoint: [::]:50001" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.grpc.api type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.451812551Z" level=info msg="API gRPC server is running on port 50001" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.452102885Z" level=info msg="Enabled max body size HTTP middleware with size 4 MB" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.http type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.452180885Z" level=info msg="Enabled tracing HTTP middleware" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.http type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.452266635Z" level=info msg="Enabled metrics HTTP middleware" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.http type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.452485718Z" level=info msg="HTTP server listening on TCP address: :3500" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.http type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.45362251Z" level=info msg="HTTP server is running on port 3500" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.453696885Z" level=info msg="The request body size parameter is: 4" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.453805885Z" level=info msg="gRPC server listening on TCP address: :47516" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.grpc.internal type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.453914718Z" level=info msg="Enabled gRPC tracing middleware" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.grpc.internal type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.453967968Z" level=info msg="Enabled gRPC metrics middleware" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime.grpc.internal type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.454066885Z" level=info msg="Internal gRPC server is running on port 47516" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.45417751Z" level=info msg="application protocol: http. waiting on port 5002.  This will block until the app is listening on that port." app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.66083126Z" level=info msg="application discovered on port 5002" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.662525635Z" level=info msg="Application configuration loaded" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
orders-dapr-1    | time="2025-08-22T14:20:29.664847551Z" level=info msg="dapr initialized. Status: Running. Init Elapsed 230ms" app_id=orders instance=ec1e76f57e64 scope=dapr.runtime type=log ver=1.12.0
